Iteration,test_preds,estimated_params,posterior_means
88,"[-1.127236, 4.138846, 3.0780282, 0.20823811, 1.2560382, -0.4695686, -0.4698433, -0.18700665, 0.17895007, -0.21548647, -0.030490268, 0.16973692, 0.1467452, -0.056247525, -0.13662858, -0.15323846, -0.061798703, 0.0018589159, 0.059884448, 0.012593303, 0.03347431]","[2.430166, 2.5684438, 3.453683, 2.4429257, 3.3728335, 3.5691273, 3.744713, 3.448457, 3.445599, 3.3299217]","[3.110769033432007, 2.7709097862243652, 2.525369167327881, 2.5953874588012695, 3.453829765319824, 2.869457960128784, 3.3760743141174316, 2.5809247493743896, 3.1675596237182617, 2.5100882053375244]"
89,"[0.6116882, -2.3680265, -4.990791, -3.7867796, -1.4528587, 1.7016073, 0.12056884, 0.024689684, 0.19945753, 0.091862105, -0.12832844, -0.251666, -0.10930851, 0.19376536, 0.1103133, 0.10560799, -0.031367768, 0.04810955, 0.072173804, -0.10820376, -0.13408753]","[2.725178, 1.7823029, 2.3725836, 3.0480316, 1.4826224, 1.595624, 1.0265546, 2.572097, 1.9021012, 4.16936]","[2.5721819400787354, 2.4823620319366455, 3.116915702819824, 2.246605157852173, 1.934622049331665, 2.438939094543457, 1.0260096788406372, 2.406747817993164, 2.7100133895874023, 3.552614688873291]"
90,"[-0.5096629, 0.7256389, 3.4464054, 0.6108415, 0.18472171, 0.8301462, -0.7595399, 0.16063854, -0.12675169, 0.24856247, -0.103709675, -0.37818614, 0.17188486, -0.11896594, -0.1820629, 0.18841083, -0.08840219, 0.034177292, 0.08252508, 0.012011299, 0.028823052]","[2.776161, 2.6279461, 2.548308, 2.7511122, 2.9490585, 2.3635538, 3.2807927, 2.9041243, 2.0992794, 2.4857748]","[2.9899702072143555, 2.6334264278411865, 2.8300821781158447, 2.58064603805542, 3.0747551918029785, 2.5133049488067627, 3.007220506668091, 2.684210777282715, 2.178337812423706, 2.4405789375305176]"
91,"[0.25937504, -2.5521812, -1.4088598, -4.283106, 0.5770156, 0.62930715, 0.5364866, -0.018667495, 0.42081204, 0.06083043, -0.2429496, 0.06585897, -0.2091326, 0.13378134, -0.05532987, -0.14903665, 0.032835927, 0.06069955, 0.13728979, -0.0072979294, -0.039507996]","[2.1431596, 2.8843443, 3.5041945, 3.1151845, 3.0541096, 1.9668082, 1.2987252, 2.197758, 3.0717936, 2.3130333]","[2.6917476654052734, 2.26836895942688, 2.7840993404388428, 2.3936171531677246, 2.7199652194976807, 1.5385853052139282, 1.2399656772613525, 2.09244441986084, 2.181685209274292, 2.7726187705993652]"
92,"[-0.875659, 3.381857, 1.283711, 1.9855384, 0.6729795, 1.3612406, 0.09031743, -0.3141416, -0.17374736, -0.04083243, 0.03384018, -0.1375021, -0.10070114, 0.16881004, 0.005530298, 0.008224342, 0.12660988, 0.051990855, 0.05302461, -0.06968723, -0.08162897]","[3.5797114, 2.906449, 3.230878, 3.1548655, 3.1213505, 2.9487004, 4.19489, 3.7185774, 2.9739978, 3.1883805]","[3.019791603088379, 2.592120409011841, 2.9091711044311523, 2.474090337753296, 2.480266809463501, 2.782133102416992, 3.4985320568084717, 2.3432679176330566, 2.8795506954193115, 2.486492156982422]"
93,"[0.19962089, 0.35846552, -3.0911562, -2.32619, -2.0019763, -3.761014, -0.0924779, 0.25038695, -0.10588356, 0.15932159, -0.041591037, 0.23405187, -0.060936656, -0.15896608, 0.0964405, -0.24238181, -0.15922831, -0.07539083, 0.023115614, 0.15391965, 0.07236931]","[0.832577, 2.0588486, 1.3736813, 2.4179924, 2.144646, 2.18846, 2.7445529, 2.2217498, 2.0782902, 1.8520304]","[1.597927451133728, 2.8991615772247314, 1.3818353414535522, 2.3477001190185547, 2.6014270782470703, 2.343966484069824, 2.3885629177093506, 2.917202949523926, 2.833773612976074, 2.249465227127075]"
94,"[-0.73228866, 2.6768477, 2.7981286, 0.32236594, -1.3876654, -0.7496987, 0.020885738, -0.05026132, -0.1861184, -0.15916614, -0.15145756, 0.21853454, -0.057125133, 0.093134105, -0.14458, 0.017596891, -0.014143973, -0.10733496, -0.049815513, 0.05666068, 0.011405003]","[1.3540229, 2.3660183, 2.1666687, 2.2502527, 3.014483, 2.2028074, 3.143368, 2.4669695, 1.5682851, 2.0218077]","[1.8743391036987305, 2.716428518295288, 2.9053332805633545, 2.5609891414642334, 3.2143466472625732, 2.298076868057251, 3.1946027278900146, 2.630037307739258, 2.3125760555267334, 2.6512513160705566]"
95,"[-0.40347573, 1.8368303, -2.0687003, 0.66028136, 1.4088964, 0.81467265, -0.35506615, -0.2863626, 0.3193921, 0.112318136, 0.093876615, -0.46295795, 0.06990856, 0.032553874, 0.14897595, -0.035988875, -0.01900088, -0.03977497, 0.008985651, -0.13774243, -0.026209533]","[1.6390454, 1.560333, 2.0928953, 1.246692, 0.96464014, 2.4832206, 2.4028876, 1.7768782, 2.3233678, 2.4237604]","[3.2776544094085693, 2.678961753845215, 2.3717591762542725, 2.480543851852417, 2.0225353240966797, 2.485358476638794, 2.660583257675171, 2.5461292266845703, 3.282501220703125, 2.6419060230255127]"
96,"[-0.7455021, 2.7032402, 0.9022551, 1.7596637, 2.151743, -0.11359102, -0.27494144, -0.34400144, -0.080402896, -0.012503633, 0.06829403, -0.11746414, -0.029896658, -0.05228493, -0.023343641, -0.12507403, -0.13578777, 0.023445377, 0.13073204, 0.00910106, 0.039002176]","[3.740731, 3.1400337, 2.545901, 3.1302135, 3.9043767, 3.171412, 3.5558815, 3.3693593, 3.2576659, 3.1943483]","[3.114206552505493, 2.6314313411712646, 2.199850082397461, 2.48354434967041, 2.954591751098633, 2.464946746826172, 3.638631820678711, 3.0542430877685547, 2.806636333465576, 2.5063529014587402]"
97,"[1.1197215, -4.955547, -0.36171302, -0.6908692, -3.7301757, -0.65149844, 1.1749746, 0.7361349, -0.22261015, -0.10685871, -0.22215828, 0.08694854, -0.3467448, -0.176769, 0.033362944, -0.023094889, 0.10684524, -0.1230281, 0.064143814, -0.13073985, -0.036621884]","[1.5231087, 0.104, 1.7824807, 2.6027217, 0.43110827, 0.99525374, 0.50324357, 0.1035, 0.72437567, 2.1095843]","[1.6597867012023926, 2.548203945159912, 2.943023681640625, 2.48205828666687, 2.521293878555298, 2.7062573432922363, 2.331815481185913, 2.5642123222351074, 2.2246835231781006, 2.3342463970184326]"
98,"[0.23605451, -0.79264396, -1.3341256, 3.0538025, 1.9173919, -1.8931093, -0.005807551, 0.1002992, -0.32669464, -0.039872516, -0.24923028, -0.09756164, -0.19220127, 0.14896002, -0.05670595, -0.09320945, -0.03853168, 0.1712841, -0.14461342, 0.068565786, -0.051091768]","[2.3193529, 2.9437573, 1.5090439, 2.8632338, 2.337212, 1.7538753, 2.8725343, 2.137391, 2.1942086, 2.1297755]","[2.370727777481079, 2.2915396690368652, 1.8406651020050049, 2.2558164596557617, 2.181917190551758, 2.6718056201934814, 2.8855841159820557, 2.8895022869110107, 2.465461492538452, 2.3215932846069336]"
99,"[-1.2925512, 5.5248904, 1.3173165, -1.3544186, -0.72818255, 1.6940567, 0.101045415, 0.042551044, 0.19793576, 0.021647748, 0.21146554, 0.12093935, 0.1256007, -0.050476085, 0.10669941, 0.11213351, 0.07846038, -0.015959602, -0.0024662707, 0.03430248, -0.017774414]","[3.3051705, 2.6909108, 4.0190377, 2.1771255, 3.3231745, 2.8124094, 3.2045276, 2.1239433, 4.4244375, 3.3914185]","[3.2031824588775635, 2.7024736404418945, 3.7455127239227295, 2.7653799057006836, 3.6918632984161377, 2.984381675720215, 3.369621515274048, 3.142765998840332, 4.141656875610352, 3.356269598007202]"
100,"[-1.4357554, 5.7744904, 2.6842833, -0.18776064, 1.2548575, 0.6158198, -0.026594086, -0.20358099, -0.17711772, 0.08567992, 0.24619535, 0.033743944, 0.23783404, 0.1184398, -0.076854415, 0.0035818028, -0.011111319, 0.056476463, 0.09590278, -0.03223353, 0.06515174]","[4.45506, 3.1514385, 3.2942126, 2.863278, 4.5753846, 2.856799, 3.61043, 2.4035435, 4.0573163, 2.642405]","[4.124260425567627, 3.391960382461548, 3.838294744491577, 2.9910340309143066, 4.437711715698242, 3.624399185180664, 3.500103235244751, 3.0060274600982666, 3.861154556274414, 3.0218114852905273]"
101,"[2.8256266, -12.033743, 1.6932805, 3.0897856, -3.7302153, 0.20807411, -0.009727307, 0.08514885, 0.22908689, -0.089061655, -0.13210012, 0.078848265, 0.20543312, -0.091334246, 0.6080648, 0.019083472, 0.16914621, 0.12307018, -0.20966722, -0.0457174, 0.2405498]","[0.77736145, 0.8367679, 2.280318, 2.6260507, 1.5913281, 0.835255, 1.8069224, 1.9218124, 0.31831843, 0.9158932]","[1.9069302082061768, 0.8940232992172241, 2.5706405639648438, 2.6734366416931152, 3.857766628265381, 2.413646936416626, 2.6802916526794434, 2.2791926860809326, 1.606406569480896, 2.6781928539276123]"
102,"[1.664539, -1.761452, -11.890615, 8.63317, -2.5469418, 3.3159447, 0.32536048, 0.04663615, 0.24501097, 0.057354216, 0.2186347, 0.6785035, 0.52021736, 0.17250629, -0.71130466, 0.22962451, -0.29674685, -0.079363845, -0.113613, -0.104594156, -0.01742412]","[1.7328233, 2.858028, 3.2946482, 2.069324, 0.299644, 0.4690035, 2.4785357, 2.942727, 3.6698828, 1.8076651]","[0.30242571234703064, 0.29119613766670227, 0.31037524342536926, 0.31753432750701904, 1.4956480264663696, 2.1391990184783936, 0.46212977170944214, 0.2201537936925888, 0.7109124660491943, 0.4450609087944031]"
103,"[0.31966984, -3.8031456, 2.0815094, -3.020803, 4.138759, -2.116904, 0.55242556, 0.28924292, 0.48152512, -0.07180968, -0.13411333, 0.11101399, 0.025257418, -0.14111637, -0.23800758, -0.14376788, 0.011430519, 0.071125336, 0.03477363, -0.05512751, -0.07909607]","[2.845664, 3.2059045, 2.6477795, 1.4328142, 2.1718268, 3.734432, 1.3118587, 1.5619845, 3.159239, 2.4947534]","[2.6919915676116943, 2.5448548793792725, 2.814004421234131, 2.416816473007202, 3.0763604640960693, 2.5348775386810303, 2.7049243450164795, 2.4693427085876465, 2.0052738189697266, 2.9285857677459717]"
104,"[-0.7866143, 2.022187, 3.9054375, 0.7091395, -0.30499917, 1.1901114, -0.4236352, -0.26240543, 0.03300119, -0.07805039, -0.111406706, 0.04752355, 0.060607597, -0.009060406, -0.13213676, 0.064786345, 0.10411154, -0.040522333, 0.045757815, 0.050183177, -0.034195103]","[1.979017, 1.6142561, 2.7658646, 1.6610063, 1.604034, 1.5303172, 2.6532085, 1.7096083, 1.4523002, 1.3669311]","[3.5506887435913086, 2.693631172180176, 3.244479179382324, 2.4185547828674316, 3.2338626384735107, 2.731581926345825, 2.900949001312256, 3.094083547592163, 3.4312894344329834, 2.383378744125366]"
105,"[-0.4593954, 2.3296514, -2.3262453, -1.395789, 2.620614, -1.6940619, -0.11390042, 0.30082998, -0.09489645, 0.2145614, 0.036484674, -0.19661658, 0.12818205, 0.24111386, 0.22120155, -0.032664604, -0.07678198, 0.06539131, -0.102464914, -0.042266972, 0.01693173]","[3.8557472, 3.9528558, 2.4476514, 3.7481365, 3.8555806, 3.7046425, 3.295351, 3.708722, 4.0022798, 3.5545273]","[2.7209770679473877, 2.4985740184783936, 1.915998935699463, 2.4922194480895996, 2.8624966144561768, 2.477264165878296, 2.485701560974121, 2.6478285789489746, 3.296269416809082, 2.5111963748931885]"
106,"[-0.6628166, 1.7771945, 0.24044876, -4.701085, -0.6404384, 1.9649713, -0.40058017, 0.09896476, 0.2226159, 0.3283714, -0.35208198, 0.30096772, 0.08861827, 0.07274762, 0.029549746, -6.799027e-05, 0.14908704, 0.024626207, 0.0005213395, 0.028969334, 0.03987081]","[1.6115222, 1.2831773, 2.1344395, 1.413048, 2.0407438, 1.3279787, 1.0272843, 1.2318372, 2.215915, 1.157302]","[2.7013802528381348, 2.5408759117126465, 2.9965429306030273, 2.4783623218536377, 3.137941360473633, 2.514639139175415, 1.2745460271835327, 2.557469367980957, 3.000999689102173, 2.6536638736724854]"
107,"[0.63478523, -1.4862516, -3.6986437, 5.308851, 1.3633109, 0.20399335, 0.24949697, 0.24640647, -0.28117052, -0.1101089, -0.02621617, -0.08934629, -0.118433855, 0.10287695, -0.106752455, -0.08139074, -0.10111809, 0.026479062, 0.05778162, 0.040815596, 0.009022216]","[1.5264828, 2.2061346, 0.81321573, 2.5562367, 0.8734748, 0.109, 2.4865386, 0.62157476, 0.2808049, 1.5206921]","[2.8896541595458984, 2.6105823516845703, 2.2026400566101074, 2.8289122581481934, 0.2745805084705353, 1.9605820178985596, 3.0861711502075195, 2.4084742069244385, 2.7894163131713867, 2.630478858947754]"
108,"[0.12599309, -2.1056895, -0.54741186, -1.5325938, 0.554037, 3.6219063, 0.7235716, -0.39295402, 0.0459004, 0.3578483, 0.24519421, -0.15606838, -0.24725056, -0.35552222, -0.1346195, -0.0781215, 0.19498295, 0.02169335, -0.23228186, 0.013186289, -0.092058145]","[1.4536772, 1.6788114, 2.362422, 1.0710933, 1.382744, 1.5217484, 0.69087595, 1.2490131, 0.2541, 1.9588593]","[2.898113489151001, 2.551798105239868, 3.060469388961792, 2.445563316345215, 2.040714740753174, 2.517303228378296, 1.452936053276062, 1.7152934074401855, 2.2666168212890625, 2.715470790863037]"
109,"[0.046925828, 1.8750095, 0.27499962, -1.0777272, -5.965953, -5.5954976, -0.24544193, -0.2827151, 0.019912705, 0.03650611, 0.30075383, -0.1608821, 0.15599255, -0.12474294, -0.10017236, -0.3332597, 0.34904596, 0.0020390353, -0.13209797, -0.19435786, 0.1196113]","[0.31744367, 0.7135298, 1.6586753, 2.020333, 1.6356293, 1.2114534, 1.6896827, 1.591691, 1.8950905, 1.5520927]","[1.5658044815063477, 3.1547415256500244, 1.4907116889953613, 2.017254114151001, 2.3026247024536133, 1.68291437625885, 2.7796261310577393, 1.9497573375701904, 2.742715358734131, 2.5590884685516357]"
110,"[0.47668213, -3.1838417, -0.7063139, -2.7239459, 4.730891, -4.307785, 0.5118629, -0.19389686, -0.14828818, 0.31768024, 0.0850658, -0.006943375, -0.044853806, -0.11353539, -0.21609855, 0.52217036, -0.121537946, -0.05672801, -0.024166323, -0.11387597, 0.0662295]","[1.1277673, 1.0088533, 0.13727, 0.49009553, 1.8569218, 2.800337, 3.0855598, 1.0918931, 1.515249, 0.19256875]","[2.9399449825286865, 2.6842236518859863, 0.3463028073310852, 1.1972330808639526, 3.279264450073242, 2.158520460128784, 2.259375810623169, 1.9263571500778198, 2.582911968231201, 2.6617910861968994]"
111,"[-0.20939949, 0.41969028, 2.3926625, 3.3413706, -1.2383678, 1.9546188, -0.6937536, 0.34926707, 0.11022496, -0.23185737, -0.2026823, -0.10722108, -0.19342156, -0.3973981, 0.021140553, 0.17527401, 0.10972578, 0.09749964, 0.11877481, -0.02423431, 0.07361167]","[3.1259513, 2.5788188, 2.6715798, 2.640503, 2.2692301, 2.238114, 3.530868, 2.4969862, 2.0037827, 3.060433]","[2.9014055728912354, 2.587968349456787, 3.097149133682251, 2.7185232639312744, 2.402216911315918, 2.6831088066101074, 3.056123971939087, 2.7070538997650146, 2.0241336822509766, 2.8601584434509277]"
112,"[0.21002859, 0.14219175, -5.2177825, 2.154831, 1.3423498, 1.3018684, -0.21087071, -0.08671851, 0.1505061, 0.11492413, -0.12644246, -0.06957677, 0.010146482, 0.1312397, 0.13426681, -0.16485536, 0.035612706, -0.04876238, -0.049453985, 0.0289806, -0.04443122]","[3.0647151, 3.3014667, 2.4763892, 3.5109131, 2.4592848, 3.3366446, 3.275672, 4.255519, 3.9436557, 3.8016038]","[2.5297231674194336, 2.6537909507751465, 2.5883121490478516, 3.01846981048584, 1.2557897567749023, 3.1464295387268066, 2.6468453407287598, 2.4831905364990234, 3.3616178035736084, 2.5159265995025635]"
113,"[-1.1942276, 4.946381, 3.1427681, -0.16292223, -1.0662886, 0.0062324135, 0.21041252, 0.07229287, 0.048948083, -0.2038773, 0.074777685, 0.10924644, 0.09327624, 0.21597172, -0.09346482, 0.15274115, 0.02813967, -0.06971453, 0.062004607, -0.0026517708, 0.03924104]","[2.9713385, 3.095574, 3.002284, 3.0206425, 3.7943654, 3.4601858, 3.3887837, 3.3157687, 3.608109, 3.3686]","[2.572009325027466, 2.4853856563568115, 3.4100277423858643, 2.656068801879883, 3.541342258453369, 2.9800384044647217, 3.1582229137420654, 2.754739284515381, 3.6217026710510254, 2.576430559158325]"
114,"[0.37537402, -3.36324, 0.9608199, 0.11473442, 0.18642858, 0.7283625, 0.25785053, -0.58753014, 0.15333821, 0.18585643, -0.04614209, -0.1949936, -0.054202702, -0.049918506, -0.06773188, 0.014223518, -0.15292765, -0.07084055, -0.03303007, 0.07852432, -0.021703944]","[3.3988197, 2.9444075, 3.6914458, 3.4080567, 3.1557138, 3.3934755, 2.2415483, 3.2626886, 2.0936992, 2.9007366]","[2.7273969650268555, 2.531284809112549, 2.7187368869781494, 2.5732955932617188, 2.5626840591430664, 2.612935781478882, 2.0270490646362305, 2.7898976802825928, 1.4532901048660278, 2.611778497695923]"
115,"[-1.1901392, 5.17206, 1.7626927, 0.1067775, 0.41924042, -0.29970092, 0.21754675, 0.37264857, 0.035090916, -0.27004474, 0.07074897, 0.024514047, 0.07829435, 0.22075191, 0.03370748, -0.033308413, 0.07723782, 0.095284626, -0.010393636, -0.07655158, 0.01124903]","[3.2673213, 2.553156, 3.1617393, 2.5794733, 3.6581137, 2.87467, 3.558659, 2.9400635, 3.7485294, 2.9465892]","[3.259329319000244, 2.3275842666625977, 3.317509412765503, 2.4520413875579834, 3.6979100704193115, 2.7741565704345703, 3.8590588569641113, 2.510404109954834, 4.15487003326416, 3.1236820220947266]"
116,"[-0.39338258, 1.9486699, -2.7263355, 0.28280053, 3.4210036, -0.40808052, -0.037281644, 0.40539584, -0.3385956, 0.21057718, -0.038880922, 0.14278148, -0.15078829, -0.17883578, 0.21380803, -0.27958587, -0.005609463, -0.024812605, -0.013532924, 0.19072196, 0.03810493]","[3.36043, 3.0000863, 2.3795903, 3.257335, 2.61425, 4.0047274, 3.1797812, 3.383224, 2.9259105, 2.6019092]","[2.883028030395508, 2.631194829940796, 2.1435112953186035, 2.5352563858032227, 2.245936870574951, 2.6191039085388184, 2.656226396560669, 2.555244207382202, 3.221201181411743, 2.691873788833618]"
117,"[-0.18801023, 0.6568432, 1.5922297, 1.5943291, -2.424808, -0.51289153, -0.22484, -0.08515673, 0.019056024, -0.03852152, -0.16759627, -0.26797038, -0.070897385, 0.10195264, -0.023695525, 0.21892212, -0.062303096, -0.02815589, 0.031859864, 0.030511646, -0.004652636]","[3.142315, 3.9915392, 4.181449, 4.1555333, 3.10404, 3.9335818, 3.5785818, 3.7963915, 3.0104792, 4.0356607]","[1.999569296836853, 2.5893707275390625, 3.056511163711548, 2.379556655883789, 2.5901038646698, 2.6074533462524414, 3.4900989532470703, 2.420546293258667, 2.177060127258301, 2.5828094482421875]"
118,"[-0.32018405, 2.5987267, -1.937951, -3.1846156, -3.861782, -2.305967, -0.19482562, -0.24421574, -0.031828713, 0.23565897, -0.119308084, 0.28640738, 0.097402036, 0.19909899, 0.2064044, -0.13128625, 0.09587436, -0.15512973, -0.096492246, -0.043070458, 0.026948858]","[0.70923555, 1.8804138, 3.3105714, 1.4052119, 2.6281152, 2.0620549, 1.7521834, 1.676944, 3.1041043, 1.8436882]","[0.5051742792129517, 2.2794435024261475, 3.7601590156555176, 2.00216007232666, 2.7245538234710693, 2.433112144470215, 2.1703619956970215, 2.533867835998535, 3.3382728099823, 2.599689245223999]"
119,"[-0.6917407, 2.0911055, 2.3307588, 1.7405035, 0.78159094, 1.0209345, 0.1771918, 0.10426706, -0.13043365, -0.12706919, 0.07676126, -0.089773044, -0.15113878, -0.08447032, -0.07832081, -0.052631326, 0.041695856, 0.075926356, 0.11374693, 0.017364891, 0.026239164]","[2.4182448, 2.0470383, 2.2751415, 2.219559, 2.2914975, 1.9950707, 3.5653799, 1.7234087, 1.7040508, 1.8781022]","[3.368016004562378, 2.6693527698516846, 2.701632499694824, 2.260528564453125, 2.7404892444610596, 2.343630790710449, 3.3599367141723633, 2.732297658920288, 2.6642045974731445, 2.5384726524353027]"
120,"[2.626265, -12.718487, 7.7962933, -1.9469187, 1.1008997, 2.5265899, 0.19806989, 0.41059783, -0.33946383, 0.48239934, 0.6735368, 0.21598347, 0.20243332, 0.24583276, 0.5934138, -0.0018697632, -0.046212904, -0.04065917, -0.28978518, -0.1864264, 0.023292378]","[2.5569491, 3.9565377, 0.8719284, 0.1504, 3.2084186, 2.4963887, 1.9876262, 3.253453, 0.23212883, 0.54861695]","[2.449939250946045, 2.4819817543029785, 2.1852455139160156, 2.744168281555176, 2.8853342533111572, 2.6699204444885254, 2.216499090194702, 2.667423725128174, 0.32087287306785583, 0.45202523469924927]"
